uniqueid,topic,issectionfirstquestion,id,parentid,question,questiontype,yesid,noid,isnotypequestion,nextsectionid
1,Documents and Witnesses,yes,DWS001,,This section focuses on the nature of the documents and witnesses- plus their availability and/or compellability. ,Statement,DWQ001, ,no,
2,Documents and Witnesses,no,DWQ001,DWS001,Is the evidence a document per EA s 47 (definitions)?,Question,DWQ002,DWQ003,no,
3,Documents and Witnesses,no,DWQ002,DWQ001,"You will therefore be 'tendering' the document. 
Is the document available per EA definitions part 2, s 5? 
Note that a document is unavailable if: 
a) The document or thing cannot be found after a reasonable search.
b) It was destroyed (not in bad faith) by the party or someone else.
c) It would be impractical to produce it during the proceeding.
d) Producing it could lead to a criminal offence.
e) It is not in the party’s possession or control, and:
i) It cannot be obtained through court procedures, or
ii) Another party has it and knows (or should know) it's likely relevant, or
iii) Another party had it when they knew (or should have known) it was likely relevant.",Question,DWA001,DWA002,no,
4,Documents and Witnesses,no,DWQ003,DWQ001,Is the evidence coming from a witness?,Question,DWQ004,DWA002,no,
5,Documents and Witnesses,no,DWQ004,DWQ003,"The evidence will be in the form of 'witness testimony'.
Is the witness competent per EA s 13? 
Note: A person is not competent to give evidence about a fact per EA s 13(1) if:
a) the person does not have the capacity to understand a question about the fact
b) or the person does not have the capacity to give an answer that can be understood to a question about the fact;
and that incapacity cannot be overcome*

*Note: If there is some incapacity that can be overcome (without causing substanital costs or delays per EA s 14(a)),
a) The witness IS competent and:
b) The witness can give either unsworn evidence per EA s 13(3); or
c) Give sworn evidence to parts of the evidence per EA s 13(2).

Other EA s 13 sub-sections may apply.",Question,DWQ005,DWA001,no,
6,Documents and Witnesses,no,DWQ005,DWQ004,"Is the witness compellable per EA s 14 or 15? 

Note: in addition to unremediable incapacity per s 14, a witness is not compellable per s 15 if they are:
(a) the Sovereign
(b) the Governor-General
(c) the Governor of a State
(d) the Administrator of a Territory
(e) a foreign sovereign or the Head of State of a foreign country.

Note: If it is a criminal proceeding, please refer to EA s 18, where:
a) Spouses; or
b) De Facto Partners; or
c) Parents; or
d) Children of defendants may not be compellable upon the court's analysis of several factors.
 ",Question,DWA001,DWA002,no,
7,Documents and Witnesses,no,DWA001,DWQ002,The evidence is likely admissible at this stage.,Question,DWS002,,no,
8,Documents and Witnesses,no,DWA002,DWQ002,The evidence is likely inadmissible.,Answer,,,no,
9,Documents and Witnesses,no,DWS002,DWA001,"The next threshold is relevance. Click 'Ok' to continue. Otherwise, click the logo to go back to the start page.",Statement,RS001,,yes,RS001
10,Relevance,yes,RS001,,Take a second to note the fact in issue (FIS) if you ignored it before.,Answer,RQ001,,no,
11,Relevance,no,RQ001,RS001,"Is the evidence relevant to the FIS? 
That is, could the evidence rationally (directly or indirectly) affect the assessment of the probability of the existence of a FIS per EA s 55?",Question,RA001,RQ002,no,
12,Relevance,no,RA001,RQ001,Your evidence is relevant and may be admissible if it passes other thresholds.,Answer,RS002,,no,
13,Relevance,no,RQ002,RQ001,"The evidence might not be related to the FIS, but there's still hope!

Is the evidence related to:
a) The credibility of witnesses (EA s 55(2)(a)); or
b) Admissibility of the evidence (EA s 55(2)(b)); or
c) A failure to adduce evidence (EA s 55(2)(c))?
",Question,RA001,RA002,no,
14,Relevance,no,RA002,RQ002,"Your evidence is not relevant and is likely not admissible. You may still like to explore other thresholds. Click 'Ok' to continue to Hearsay. Otherwise, click the logo to go back to the start page.",Question,HS001,,no,HS001
15,Relevance,no,RS002,RA001,"The next threshold is Hearsay. Click 'Ok' to continue. Otherwise, click the logo to go back to the start page",Statement,HS001,,no,HS001
16,Hearsay,yes,HS001,,"Before analysing the admissibility of hearsay evidence, note the following:

a) What is the previous representation? 
b) Who is the maker of it?
c) Who is the witness who perceived the representation? 
",Statement,HQ001,,no,
17,Hearsay,no,HQ001,HS001,"Is the evidence relevant for a Hearsay purpose per EA s 59 and s 60? That is, is the representation relevant for proving the validity of an asserted fact?

Note: This does not apply if it's an admission made in a criminal proceeding. Please explore 'admissions'.",Question,HQ002,HA001,no,
18,Hearsay,no,HA001,HQ001,The evidence is relevant for a non-hearsay purpose per EA s 61 and the hearsay rule does not apply. Proceed to the next threshold.,Answer,HS002,,no,
19,Hearsay,no,HQ002,HA001,"Is the previous representation made by the MAKER:
a) heard
b) seen
c) or otherwise perceived 
by the WITNESS on a first-hand basis per EA s 62?",Question,HA003,HA005,no,
20,Hearsay,no,HA003,HQ002,"The hearsay rule is applied on a 'prima facie' (initial, subject to exceptions) basis, and the evidence is inadmissible per EA s 59. EXCEPTIONS MAY APPLY- CLICK 'OK' TO EXPLORE THEM.",Answer,HQ003,,no,
21,Hearsay,no,HQ003,HA003,Is the evidence in relation to a civil proceeding?,Question,HQ004,HQ005,no,
22,Hearsay,no,HQ004,HQ003,"Is the maker available per EA dictionary Part 2, s 4 and s 5?",Question,HQ006,HQ007,no,
23,Hearsay,no,HQ006,HQ004,"The hearsay rule does not apply to evidence (so the hearsay evidence is still admissible) in civil proceedings per EA s 64 where:
a) If it is witness testimony, the maker is available; or
b) If it is a document, the document contains the representation, and you can understand the representation just from the document; (more exceptions will be explored if it's a document)
c) AND It would not be reasonably practicable to call the person who made the representation to give evidence.

Are these conditions satisfied?",Question,HQ008,HQ008,no,
24,Hearsay,no,HQ007,HQ004,"The hearsay rule does not apply to evidence in civil proceedings where:
a) if it is witness testimony, the maker is unavailable
b) if it is a document, it contains the representation, and you can understand the representation just from the document per EA s 63

Are these conditions satisfied?",Question,HA004,HQ008,no,
25,Hearsay,no,HQ005,HQ003,Is the evidence in relation to a criminal proceeding?,Question,HQ009,HA004,no,
26,Hearsay,no,HQ009,HQ005,"Is the maker available per EA dictionary Part 2, s 4 and s 5?",Question,HQ010,HQ011,no,
27,Hearsay,no,HQ010,HQ009,"The hearsay rule does not apply to evidence in criminal proceedings where the maker is available and the occurrence of the asserted fact was fresh in the memory per EA s 66.
Fresh in the memory’ per s 66(2A) considers:
a) the nature of the event concerned; and
b) the age and health of the person; and
c) the period of time between the occurrence of the asserted fact and the making of the representation.

Was the evidence 'fresh in the memory' at the time it was represented? [Keep in mind, if it isn't witness testimony or if it isn't fresh in the memory, other exceptions may still be applicable. Click 'NO' and just continue the process'].",Question,HA004,HQ008,no,
